"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","group","questionNo","questionOrder","version","task","view_history","rt","responses","stimulus","key_press","testNo","testOrder","correct"
"","html-keyboard-response","176","1256762","0.0-27.0-2.0-0.0","01234","shuffled","3","3","sameness","explain","","2919","","4_sameness","74","3","0","1"
"","html-keyboard-response","177","1257774","0.0-27.0-2.0-1.0","01234","shuffled","3","3","sameness","explain","","1011","","4_sameness","70","4","1","0"
"","html-keyboard-response","178","1258897","0.0-27.0-2.0-2.0","01234","shuffled","3","3","sameness","explain","","1122","","4_sameness","74","1","2","0"
"","html-keyboard-response","179","1262394","0.0-27.0-2.0-3.0","01234","shuffled","3","3","sameness","explain","","3496","","4_sameness","74","5","3","1"
"","html-keyboard-response","180","1263286","0.0-27.0-2.0-4.0","01234","shuffled","3","3","sameness","explain","","891","","4_sameness","70","0","4","1"
"","html-keyboard-response","181","1264134","0.0-27.0-2.0-5.0","01234","shuffled","3","3","sameness","explain","","846","","4_sameness","70","2","5","0"
"","html-keyboard-response","182","1269498","0.0-28.0-0.0","01234","shuffled","3","3","sameness","explain","","5364","","<div class='bongard-image'><img src='img/2_sameness.png' height='416' width='558'></img></div>","32","","",""
"","survey-text","183","1282385","0.0-28.0-1.0-0.0","01234","shuffled","3","3","sameness","explain","","12880","{""Q0"":""shapes same length"",""Q1"":""shapes different lengths""}","","","","",""
"","html-keyboard-response","184","1284667","0.0-28.0-2.0-0.0","01234","shuffled","3","3","sameness","explain","","2280","","2_sameness","74","2","0","1"
"","html-keyboard-response","185","1285908","0.0-28.0-2.0-1.0","01234","shuffled","3","3","sameness","explain","","1241","","2_sameness","70","4","1","0"
"","html-keyboard-response","186","1313378","0.0-28.0-2.0-2.0","01234","shuffled","3","3","sameness","explain","","27469","","2_sameness","70","5","2","0"
"","html-keyboard-response","187","1314319","0.0-28.0-2.0-3.0","01234","shuffled","3","3","sameness","explain","","940","","2_sameness","74","0","3","0"
"","html-keyboard-response","188","1325816","0.0-28.0-2.0-4.0","01234","shuffled","3","3","sameness","explain","","11496","","2_sameness","70","3","4","0"
"","html-keyboard-response","189","1329458","0.0-28.0-2.0-5.0","01234","shuffled","3","3","sameness","explain","","3641","","2_sameness","74","1","5","0"
"","html-keyboard-response","190","1337096","0.0-29.0-0.0","01234","shuffled","3","3","sameness","explain","","7636","","<div class='bongard-image'><img src='img/0_sameness.png' height='416' width='558'></img></div>","32","","",""
"","survey-text","191","1360249","0.0-29.0-1.0-0.0","01234","shuffled","3","3","sameness","explain","","23149","{""Q0"":""same number circles and squares"",""Q1"":""different number circles and squares""}","","","","",""
"","html-keyboard-response","192","1362398","0.0-29.0-2.0-0.0","01234","shuffled","3","3","sameness","explain","","2147","","0_sameness","70","3","0","0"
"","html-keyboard-response","193","1364001","0.0-29.0-2.0-1.0","01234","shuffled","3","3","sameness","explain","","1602","","0_sameness","74","0","1","0"
"","html-keyboard-response","194","1367545","0.0-29.0-2.0-2.0","01234","shuffled","3","3","sameness","explain","","3542","","0_sameness","74","1","2","0"
"","html-keyboard-response","195","1368715","0.0-29.0-2.0-3.0","01234","shuffled","3","3","sameness","explain","","1168","","0_sameness","70","4","3","0"
"","html-keyboard-response","196","1370326","0.0-29.0-2.0-4.0","01234","shuffled","3","3","sameness","explain","","1609","","0_sameness","74","2","4","1"
"","html-keyboard-response","197","1371812","0.0-29.0-2.0-5.0","01234","shuffled","3","3","sameness","explain","","1486","","0_sameness","70","5","5","0"
"","html-keyboard-response","198","1374122","0.0-30.0-0.0","01234","shuffled","3","3","sameness","explain","","2309","","<div class='bongard-image'><img src='img/3_sameness.png' height='416' width='558'></img></div>","32","","",""
"","survey-text","199","1407073","0.0-30.0-1.0-0.0","01234","shuffled","3","3","sameness","explain","","32944","{""Q0"":""shapes point in same direction"",""Q1"":""shapes point in different directions""}","","","","",""
"","html-keyboard-response","200","1409596","0.0-30.0-2.0-0.0","01234","shuffled","3","3","sameness","explain","","2521","","3_sameness","70","0","0","1"
"","html-keyboard-response","201","1410949","0.0-30.0-2.0-1.0","01234","shuffled","3","3","sameness","explain","","1351","","3_sameness","74","5","1","1"
"","html-keyboard-response","202","1413036","0.0-30.0-2.0-2.0","01234","shuffled","3","3","sameness","explain","","2086","","3_sameness","74","3","2","1"
"","html-keyboard-response","203","1415417","0.0-30.0-2.0-3.0","01234","shuffled","3","3","sameness","explain","","2378","","3_sameness","70","2","3","0"
"","html-keyboard-response","204","1416567","0.0-30.0-2.0-4.0","01234","shuffled","3","3","sameness","explain","","1149","","3_sameness","70","4","4","0"
"","html-keyboard-response","205","1417628","0.0-30.0-2.0-5.0","01234","shuffled","3","3","sameness","explain","","1059","","3_sameness","70","1","5","1"
"","survey-text","206","1437850","0.0-31.0","01234","shuffled","3","3","sameness","explain","","20222","{""Q0"":""why is this text box here? I only see a text box....""}","","","","",""
